SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,2200600002.0,Consumables,318746822.5405333,2210346.919357055,1995-01-01
GL ACC,2200600002.0,Consumables,337945800.4390071,2510458.639608889,1996-01-01
GL ACC,2200600002.0,Consumables,360608647.9358438,2013869.853883516,1997-01-01
GL ACC,2200600002.0,Consumables,306014877.2371844,2289070.475132119,1998-01-01
GL ACC,2200600002.0,Consumables,339798085.2280032,2136556.325104535,1999-01-01
GL ACC,2200600002.0,Consumables,371632426.990304,2487604.993346175,2000-01-01
GL ACC,2200600002.0,Consumables,364333499.529762,2280470.275353541,2001-01-01
GL ACC,2200600002.0,Consumables,322872805.6269533,1892097.118439571,2002-01-01
GL ACC,2200600002.0,Consumables,361223699.9344484,2427973.008700596,2003-01-01
GL ACC,2200600002.0,Consumables,250275821.5631196,1945679.799131474,2004-01-01
GL ACC,2200600002.0,Consumables,351874135.551212,2130501.477624485,2005-01-01
GL ACC,2200600002.0,Consumables,299459359.6850898,2527127.661403286,2006-01-01
GL ACC,2200600002.0,Consumables,351174971.4496807,1983009.744192886,2007-01-01
GL ACC,2200600002.0,Consumables,295795642.2643167,2517223.025734754,2008-01-01
GL ACC,2200600002.0,Consumables,307431063.3783383,2229165.540593306,2009-01-01
GL ACC,2200600002.0,Consumables,259311184.661286,2466340.312336689,2010-01-01
GL ACC,2200600002.0,Consumables,349054743.2074578,2239365.349026006,2011-01-01
GL ACC,2200600002.0,Consumables,316123967.603822,1989424.10046002,2012-01-01
GL ACC,2200600002.0,Consumables,293666197.1995374,2061366.98064344,2013-01-01
GL ACC,2200600002.0,Consumables,355993356.3522658,1801556.629812472,2014-01-01
GL ACC,2200600002.0,Consumables,372540219.3832292,2106427.3105636,2015-01-01
GL ACC,2200600002.0,Consumables,303043379.021691,2503450.267289565,2016-01-01
GL ACC,2200600002.0,Consumables,370175483.0092968,2489462.222360541,2017-01-01
GL ACC,2200600002.0,Consumables,351262525.1753438,2518535.851708441,2018-01-01
GL ACC,2200600002.0,Consumables,352183540.1545776,2425109.959667893,2019-01-01
GL ACC,2200600002.0,Consumables,297448929.3747444,2578044.7291306,2020-01-01
GL ACC,2200600002.0,Consumables,353786249.6332073,2613716.517567731,2021-01-01
GL ACC,2200600002.0,Consumables,339704727.1684451,1912444.065280427,2022-01-01
GL ACC,2200600002.0,Consumables,267593393.6345375,2374803.210725011,2023-01-01
GL ACC,2200600002.0,Consumables,282676722.6407161,2584374.291522421,2024-01-01
