SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,3112210001.0,ICT Equipment,177687545.0454797,1293083.99306592,1995-01-02
GL ACC,3112210001.0,ICT Equipment,135384832.3846283,987877.5191708084,1996-01-02
GL ACC,3112210001.0,ICT Equipment,148143363.8602137,1270167.408692286,1997-01-02
GL ACC,3112210001.0,ICT Equipment,170010111.2832325,1423361.347953111,1998-01-02
GL ACC,3112210001.0,ICT Equipment,153842238.7799214,1027377.778228186,1999-01-02
GL ACC,3112210001.0,ICT Equipment,160623782.2861837,1155522.358961145,2000-01-02
GL ACC,3112210001.0,ICT Equipment,189742180.6572842,1269012.638734476,2001-01-02
GL ACC,3112210001.0,ICT Equipment,134800773.6296281,1037152.958932926,2002-01-02
GL ACC,3112210001.0,ICT Equipment,154516668.9744047,990926.3972003484,2003-01-02
GL ACC,3112210001.0,ICT Equipment,177906359.4390857,1024433.429441591,2004-01-02
GL ACC,3112210001.0,ICT Equipment,135551619.5165612,1440025.235963064,2005-01-02
GL ACC,3112210001.0,ICT Equipment,149616380.1625465,1435634.054454909,2006-01-02
GL ACC,3112210001.0,ICT Equipment,170664836.7938427,1238634.213519364,2007-01-02
GL ACC,3112210001.0,ICT Equipment,186956202.1364761,1159730.437006892,2008-01-02
GL ACC,3112210001.0,ICT Equipment,189756220.9969685,1280934.122814732,2009-01-02
GL ACC,3112210001.0,ICT Equipment,197029000.5575245,1396868.261797409,2010-01-02
GL ACC,3112210001.0,ICT Equipment,136395904.4449875,1055542.859687197,2011-01-02
GL ACC,3112210001.0,ICT Equipment,168556589.6327038,1202354.79272563,2012-01-02
GL ACC,3112210001.0,ICT Equipment,199940852.1003302,1091516.915048394,2013-01-02
GL ACC,3112210001.0,ICT Equipment,135669010.8689723,1311811.287300432,2014-01-02
GL ACC,3112210001.0,ICT Equipment,201804771.681796,1369947.051008507,2015-01-02
GL ACC,3112210001.0,ICT Equipment,152564498.2039971,1382265.600050375,2016-01-02
GL ACC,3112210001.0,ICT Equipment,139313845.2198863,1149112.637523768,2017-01-02
GL ACC,3112210001.0,ICT Equipment,160568272.1276473,1212076.163836941,2018-01-02
GL ACC,3112210001.0,ICT Equipment,138044555.4450752,1378602.63918266,2019-01-02
GL ACC,3112210001.0,ICT Equipment,189323340.2373397,1021816.768258524,2020-01-02
GL ACC,3112210001.0,ICT Equipment,193114912.7704499,1428632.00394725,2021-01-02
GL ACC,3112210001.0,ICT Equipment,158374541.3589351,1082681.272536668,2022-01-02
GL ACC,3112210001.0,ICT Equipment,140440638.7100773,1185430.248499521,2023-01-02
GL ACC,3112210001.0,ICT Equipment,197941722.5491942,1438865.671607558,2024-01-02
