SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,2200600003.0,Renewal of Computer software,563591794.8313812,3303415.337689762,1995-01-05
GL ACC,2200600003.0,Renewal of Computer software,592750256.4485444,3081489.155043952,1996-01-05
GL ACC,2200600003.0,Renewal of Computer software,514262061.8503997,3112563.987252053,1997-01-05
GL ACC,2200600003.0,Renewal of Computer software,475379508.0131087,4152258.585808086,1998-01-05
GL ACC,2200600003.0,Renewal of Computer software,548036221.1893566,4375786.718883786,1999-01-05
GL ACC,2200600003.0,Renewal of Computer software,560634808.496986,3624388.586743437,2000-01-05
GL ACC,2200600003.0,Renewal of Computer software,625222791.3042465,4070759.339118394,2001-01-05
GL ACC,2200600003.0,Renewal of Computer software,518836439.7162324,4043591.675958254,2002-01-05
GL ACC,2200600003.0,Renewal of Computer software,600440400.6214528,3285185.94105383,2003-01-05
GL ACC,2200600003.0,Renewal of Computer software,591737181.4782964,3247080.14093977,2004-01-05
GL ACC,2200600003.0,Renewal of Computer software,497106344.1205723,3213178.708270347,2005-01-05
GL ACC,2200600003.0,Renewal of Computer software,515870435.4879175,3197774.918682219,2006-01-05
GL ACC,2200600003.0,Renewal of Computer software,426044748.1025813,3135910.530592648,2007-01-05
GL ACC,2200600003.0,Renewal of Computer software,536272125.0949447,4217959.765225052,2008-01-05
GL ACC,2200600003.0,Renewal of Computer software,514044901.6829354,4430309.645044873,2009-01-05
GL ACC,2200600003.0,Renewal of Computer software,613983809.7052051,3900686.775264391,2010-01-05
GL ACC,2200600003.0,Renewal of Computer software,576586279.0959646,4066285.388959778,2011-01-05
GL ACC,2200600003.0,Renewal of Computer software,483179186.6773881,3861024.094084987,2012-01-05
GL ACC,2200600003.0,Renewal of Computer software,428090726.9076584,3931285.577132273,2013-01-05
GL ACC,2200600003.0,Renewal of Computer software,584143836.000522,3054908.695879319,2014-01-05
GL ACC,2200600003.0,Renewal of Computer software,626151608.5975745,3154493.923331025,2015-01-05
GL ACC,2200600003.0,Renewal of Computer software,519340614.5388338,3884723.210804557,2016-01-05
GL ACC,2200600003.0,Renewal of Computer software,580597064.2863976,3597981.163840603,2017-01-05
GL ACC,2200600003.0,Renewal of Computer software,546084122.3277028,4416945.496172425,2018-01-05
GL ACC,2200600003.0,Renewal of Computer software,473117777.9004332,4272054.766419182,2019-01-05
GL ACC,2200600003.0,Renewal of Computer software,487385726.2596243,4360046.266809732,2020-01-05
GL ACC,2200600003.0,Renewal of Computer software,489721523.0441567,3304289.659592937,2021-01-05
GL ACC,2200600003.0,Renewal of Computer software,541907927.8730799,4029825.877411485,2022-01-05
GL ACC,2200600003.0,Renewal of Computer software,530946093.1591621,3954053.343483201,2023-01-05
GL ACC,2200600003.0,Renewal of Computer software,555822096.0825604,4446386.764543188,2024-01-05
