SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,2202000002.0,Technical Equipment Maintenance,25639559.55859859,194977.2040975956,1995-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,28445176.79983615,187356.5989878598,1996-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,24623971.9101545,252094.8381233319,1997-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,28392418.12825746,192296.462591089,1998-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,34941430.53975061,250734.1056132873,1999-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,24549541.79830478,181515.1567574524,2000-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,34233870.78199916,223155.2386628778,2001-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,31668859.52325382,179802.9687982798,2002-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,33314247.63809119,187684.4462253292,2003-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,27470528.5446855,226460.3302053696,2004-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,32639316.96884161,231591.3795634566,2005-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,34828205.29129706,255779.5871831044,2006-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,32139202.35053559,245364.8855495538,2007-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,34654927.02196743,175645.8259119191,2008-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,26960762.04895396,228304.9976570772,2009-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,31305767.24807376,252129.9350437713,2010-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,35664270.49638986,239224.6302485976,2011-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,31775085.50990099,181918.8391779275,2012-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,33237947.32117753,218750.0304279104,2013-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,33510116.08741461,183609.6628139023,2014-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,30414848.50421742,200779.329017509,2015-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,26731767.89318367,186237.1569701465,2016-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,34240017.22720502,197072.1665026596,2017-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,30667753.42254214,206656.3668321259,2018-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,27549694.56109491,227034.0628731969,2019-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,33110080.759579,214649.5134247939,2020-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,29424729.33223322,222928.0709422491,2021-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,24440292.73604215,220020.2015313742,2022-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,35880505.35038189,210329.3380115827,2023-01-04
GL ACC,2202000002.0,Technical Equipment Maintenance,28742137.89353511,176147.8209490658,2024-01-04
