SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,2201900002.0,Part Technical equipment,26067459.90415477,163576.4484281265,1995-01-03
GL ACC,2201900002.0,Part Technical equipment,20536554.57639488,177605.9617346528,1996-01-03
GL ACC,2201900002.0,Part Technical equipment,20836039.45604251,177178.177853615,1997-01-03
GL ACC,2201900002.0,Part Technical equipment,25855443.77798973,191831.2990375907,1998-01-03
GL ACC,2201900002.0,Part Technical equipment,24280010.58614801,180021.4971188816,1999-01-03
GL ACC,2201900002.0,Part Technical equipment,22906231.74730361,187884.9236217229,2000-01-03
GL ACC,2201900002.0,Part Technical equipment,19797851.64469608,160336.7544694592,2001-01-03
GL ACC,2201900002.0,Part Technical equipment,22540676.00955276,184104.6107549531,2002-01-03
GL ACC,2201900002.0,Part Technical equipment,26676777.68568979,148679.3531107527,2003-01-03
GL ACC,2201900002.0,Part Technical equipment,24999684.4067563,145772.8117326793,2004-01-03
GL ACC,2201900002.0,Part Technical equipment,21737086.93054252,174358.7268712239,2005-01-03
GL ACC,2201900002.0,Part Technical equipment,23877178.5610702,138413.6995918434,2006-01-03
GL ACC,2201900002.0,Part Technical equipment,22770205.93092643,137207.2949959847,2007-01-03
GL ACC,2201900002.0,Part Technical equipment,21616746.50802353,185775.1448797366,2008-01-03
GL ACC,2201900002.0,Part Technical equipment,18909103.46375109,134917.9950601306,2009-01-03
GL ACC,2201900002.0,Part Technical equipment,22202874.06020832,180187.7531441306,2010-01-03
GL ACC,2201900002.0,Part Technical equipment,25047627.71945843,172353.6241770252,2011-01-03
GL ACC,2201900002.0,Part Technical equipment,20614781.14681045,184757.8178518196,2012-01-03
GL ACC,2201900002.0,Part Technical equipment,19325454.29408298,161585.9255523986,2013-01-03
GL ACC,2201900002.0,Part Technical equipment,18211212.03468015,195648.5162254237,2014-01-03
GL ACC,2201900002.0,Part Technical equipment,26214352.08160352,141339.4755201535,2015-01-03
GL ACC,2201900002.0,Part Technical equipment,23245738.81372266,166642.2261296705,2016-01-03
GL ACC,2201900002.0,Part Technical equipment,23024749.79946373,131975.5323770045,2017-01-03
GL ACC,2201900002.0,Part Technical equipment,21104604.7180547,177986.2819727431,2018-01-03
GL ACC,2201900002.0,Part Technical equipment,26926933.15449824,141394.5249387956,2019-01-03
GL ACC,2201900002.0,Part Technical equipment,23078303.20361014,167561.0378015399,2020-01-03
GL ACC,2201900002.0,Part Technical equipment,19167335.17777705,153560.3195291988,2021-01-03
GL ACC,2201900002.0,Part Technical equipment,20509212.10512117,141311.6984758661,2022-01-03
GL ACC,2201900002.0,Part Technical equipment,21080409.12363028,158354.5014939527,2023-01-03
GL ACC,2201900002.0,Part Technical equipment,21627315.90642877,164068.9858253439,2024-01-03
